Year,Month,Season,Season yr,Location,Treatment,Rep ,Phosphate,Total P,Ammonium
2020,July,Summer,Summer 5,Inflow,lagoon,1,0.295,0.473,1.2
2020,July,Summer,Summer 5,Inflow,lagoon,2,0.296,0.591,0.64
2020,July,Summer,Summer 5,Inflow,lagoon,3,0.313,0.535,0.89
2020,July,Summer,Summer 5,Lagoon C,lagoon,1,0.141,0.974,0.22
2020,July,Summer,Summer 5,Lagoon C,lagoon,2,0.434,1.344,0.47
2020,July,Summer,Summer 5,Lagoon C,lagoon,3,0.22,0.919,0.33
2021,May,Spring,Spring 5,Basin 3,wetland,1,0.49,0.725,3.49
2021,May,Spring,Spring 5,Basin 3,wetland,2,0.52,0.77,3.424
2021,May,Spring,Spring 5,Basin 3,wetland,3,0.46,0.696,3.421
2021,May,Spring,Spring 5,Basin 2,wetland,1,0.52,0.748,4.243
2021,May,Spring,Spring 5,Basin 2,wetland,2,0.56,0.74,4.516
2021,May,Spring,Spring 5,Basin 2,wetland,3,0.52,0.858,4.601
2021,May,Spring,Spring 5,Basin 1,wetland,1,0.64,0.968,5.268
2021,May,Spring,Spring 5,Basin 1,wetland,2,0.62,0.799,5.456
2021,May,Spring,Spring 5,Basin 1,wetland,3,0.63,0.799,5.534
2021,May,Spring,Spring 5,Inflow,lagoon,1,0.44,0.939,5.005
2021,May,Spring,Spring 5,Inflow,lagoon,2,0.4,0.961,4.764
2021,May,Spring,Spring 5,Inflow,lagoon,3,0.42,0.917,4.806
2021,May,Spring,Spring 5,Lagoon C,lagoon,1,0.14,0.77,3.109
2021,May,Spring,Spring 5,Lagoon C,lagoon,2,0.13,0.623,3.057
2021,May,Spring,Spring 5,Lagoon C,lagoon,3,0,0.578,3.225
2021,June,Summer,Summer 6,Basin 3,wetland,1,0.48,0.525,5.6
2021,June,Summer,Summer 6,Basin 3,wetland,2,0.5,0.433,5.7
2021,June,Summer,Summer 6,Basin 3,wetland,3,0.5,0.525,5.5
2021,June,Summer,Summer 6,Basin 2,wetland,1,0.27,1.075,6.6
2021,June,Summer,Summer 6,Basin 2,wetland,2,0.29,0.608,6.3
2021,June,Summer,Summer 6,Basin 2,wetland,3,0.27,0.608,6.8
2021,June,Summer,Summer 6,Basin 1,wetland,1,0.46,0.608,7.1
2021,June,Summer,Summer 6,Basin 1,wetland,2,0.49,0.5,7.1
2021,June,Summer,Summer 6,Basin 1,wetland,3,0.48,0.592,7.2
2021,June,Summer,Summer 6,Inflow,lagoon,1,0.3,0.708,4.7
2021,June,Summer,Summer 6,Inflow,lagoon,2,0.37,0.708,4.9
2021,June,Summer,Summer 6,Inflow,lagoon,3,0.33,0.8,5.1
2021,June,Summer,Summer 6,Lagoon C,lagoon,1,0.24,0.758,4.2
2021,June,Summer,Summer 6,Lagoon C,lagoon,2,0.25,0.633,4.2
2021,June,Summer,Summer 6,Lagoon C,lagoon,3,0.27,0.675,4.3
